Well_Name,Depth,GR,RESD,RESS,RHOB,NEUTRON,Vshale,PHIE,Sw,PERM
Well-01,2235,90.3125,40.8172,70.0643,2.5145,0.3169,1,0.0001,1,0
Well-01,2235.5,78.4375,29.5847,48.9083,2.4792,0.3219,0.9095,0.0001,1,0
Well-01,2236,73.8125,21.0186,35.3775,2.4866,0.3216,0.8457,0.0001,1,0
Well-01,2236.5,71,16.3543,24.2253,2.4939,0.3215,0.8069,0.0001,1,0
Well-01,2237,64,13.5639,17.5981,2.5134,0.3212,0.7103,0.0001,0.9431,0
Well-01,2237.5,56.5312,11.2083,13.9031,2.5228,0.3207,0.6073,0.0001,1,0
Well-01,2238,56.9688,9.6722,11.686,2.3267,0.3228,0.2958,0.0939,0.6492,7.0461
Well-01,2238.5,64,9.6599,10.6822,2.181,0.3346,0.3426,0.0872,0.831,4.2987
Well-01,2239,79.875,9.3437,10.2689,2.1367,0.3948,0.4742,0.1108,0.6887,18.9471
Well-01,2239.5,90.875,8.5473,10.3837,2.2551,0.4395,0.5629,0.1074,0.6318,15.8473
Well-01,2240,96.1875,7.9078,10.983,2.362,0.3952,0.5869,0.0693,0.8392,1.112
Well-01,2240.5,96,7.912,11.9063,2.2477,0.3155,0.6096,0.0001,1,0
Well-01,2241,102.5,9.0823,12.4753,2.1006,0.3228,0.6112,0.0001,1,0
Well-01,2241.5,98.9375,10.8354,13.1232,2.0776,0.3924,0.5912,0.0501,1,0.039
Well-01,2242,93.5625,11.393,13.7458,2.1604,0.4234,0.5749,0.1071,0.5451,15.8161
Well-01,2242.5,83.3125,10.1649,13.261,2.3205,0.3783,0.5403,0.0656,0.7246,0.7215
Well-01,2243,83.4375,8.3918,12.4507,2.393,0.3048,0.4832,0.032,1,0.006
Well-01,2243.5,91.6875,7.9719,12.1537,2.334,0.2744,0.5613,0.0001,1,0
Well-01,2244,98.3125,8.5071,10.7806,2.1513,0.3003,0.6457,0.0001,1,0
Well-01,2244.5,105.8125,9.4849,10.3768,2.0428,0.3543,0.6887,0.0096,1,0
Well-01,2245,106.3125,10.4018,10.37,2.014,0.4578,0.6928,0.0001,1,0
Well-01,2245.5,104.625,10.5105,10.7622,2.0714,0.5537,0.6709,0.051,0.9816,0.1673
Well-01,2246,88.25,9.5425,11.1932,2.1563,0.5182,0.5435,0.0485,0.898,0.0336
Well-01,2246.5,74.75,9.3461,13.6095,2.2431,0.3986,0.4063,0.0376,0.9341,0.0107
Well-01,2247,61.875,10.4422,15.5224,2.3441,0.2814,0.39,0.0001,1,0
Well-01,2247.5,64.125,12.3684,17.7863,2.4406,0.2314,0.2363,0.1003,0.6136,11.0925
Well-01,2248,60.5312,14.4469,20.2364,2.459,0.2249,0.248,0.0878,0.6862,4.9404
Well-01,2248.5,63.0938,16.1409,21.7707,2.4724,0.2226,0.263,0.0779,0.7555,2.3779
Well-01,2249,64.75,16.9579,22.7919,2.472,0.2388,0.3059,0.0727,0.8021,1.5612
Well-01,2249.5,70.4375,17.5049,23.8413,2.4716,0.2537,0.3457,0.0678,0.8528,1.0228
Well-01,2250,75.6875,17.282,25.1713,2.4688,0.247,0.3231,0.0724,0.7767,1.5215
Well-01,2250.5,72.625,17.3863,26.3912,2.4718,0.224,0.2657,0.0779,0.6771,2.3795
Well-01,2251,66.125,20.2109,28.6928,2.4653,0.2226,0.2518,0.0831,0.6148,3.515
Well-01,2251.5,60.7188,24.7234,30.7307,2.4703,0.2363,0.2966,0.0744,0.6903,1.8019
Well-01,2252,62.7188,25.8335,32.9766,2.4664,0.2493,0.3148,0.0761,0.6266,2.0655
Well-01,2252.5,67.25,25.5684,33.395,2.4731,0.2446,0.3233,0.0693,0.6489,1.1614
Well-01,2253,65.375,22.2357,30.376,2.4623,0.2298,0.2664,0.0828,0.5323,3.4428
Well-01,2253.5,67.1875,16.8404,23.5042,2.435,0.2455,0.2654,0.0289,0.8032,0.0038
Well-01,2254,74.8125,13.757,20.0948,2.2754,0.3317,0.4612,0.0001,0.919,0
Well-01,2254.5,91.1875,12.8,16.1164,2.0612,0.4473,0.4729,0.0214,1,0.0012
Well-01,2255,114.1875,12.5652,13.7938,1.9554,0.5102,0.6606,0.016,1,0.0004
Well-01,2255.5,131.25,12.832,12.8982,1.9192,0.5364,0.8167,0.0437,0.8648,0.0201
Well-01,2256,143.75,12.9397,13.6862,1.9624,0.5328,0.8378,0.0225,1,0.0015
Well-01,2256.5,139.75,11.339,13.9831,2.0228,0.5192,0.8435,0.0001,1,0
Well-01,2257,134,9.973,15.1139,2.157,0.4494,0.9033,0.0001,1,0
Well-01,2257.5,121.375,9.228,16.6869,2.254,0.3755,0.8095,0.0001,1,0
Well-01,2258,115.5625,9.6425,17.1026,2.1134,0.3715,0.6581,0.0001,1,0
Well-01,2258.5,115.125,11.9986,16.9921,1.9204,0.4562,0.6927,0.0389,0.7815,0.0128
Well-01,2259,113,15.6,17.149,1.8504,0.5753,0.731,0.036,0.9419,0.01
Well-01,2259.5,99.5,18.312,18.2172,1.9128,0.5416,0.6601,0.0395,0.9049,0.0145
Well-01,2260,70.5,19.6227,20.0948,2.0654,0.405,0.4298,0.0875,0.5651,4.5178
Well-01,2260.5,43.8438,17.3028,25.4144,2.1943,0.2837,0.233,0.1409,0.3343,88.2297
Well-01,2261,28.375,16.7035,32.04,2.3125,0.2271,0.0485,0.1882,0.1901,515.3905
Well-01,2261.5,26.3906,20.7455,41.8455,2.367,0.2097,0.0777,0.1541,0.2449,152.5983
Well-01,2262,31.3594,26.7375,53.643,2.3496,0.2146,0.0668,0.1653,0.2328,233.9168
Well-01,2262.5,34,31.8073,61.3539,2.3485,0.2266,0.0934,0.1623,0.2408,209.5919
Well-01,2263,32.0938,36.3131,59.5045,2.3438,0.2355,0.1079,0.1635,0.2439,218.4782
Well-01,2263.5,28.9531,33.5569,57.2399,2.3434,0.2367,0.1103,0.1632,0.2456,216.1324
Well-01,2264,28.4219,27.0234,55.4317,2.3444,0.2353,0.1082,0.163,0.248,215.1421
Well-01,2264.5,31.8906,24.7364,53.4614,2.3577,0.2369,0.1291,0.1525,0.2667,143.0482
Well-01,2265,34.125,21.7738,51.7957,2.3694,0.2405,0.1525,0.1433,0.2832,97.974
Well-01,2265.5,38.2812,18.9518,49.367,2.3815,0.2402,0.1673,0.1357,0.3031,70.1403
Well-01,2266,43.5625,16.6352,43.5175,2.3959,0.2431,0.1924,0.1239,0.3411,40.2588
Well-01,2266.5,47.5938,14.7926,37.4763,2.4165,0.2457,0.2247,0.107,0.4125,16.4696
Well-01,2267,48.375,13.4167,32.4015,2.4537,0.2532,0.2911,0.0757,0.5862,1.9937
Well-01,2267.5,51.0312,13.1885,30.9414,2.4962,0.3149,0.4983,0.0193,1,0.0008
Well-01,2268,62.5312,12.1407,28.7189,2.4668,0.3848,0.6459,0.0149,1,0.0003
Well-01,2268.5,67.9375,10.8124,29.0624,2.3607,0.3988,0.5497,0.0924,0.7159,6.7203
Well-01,2269,60.5938,9.7243,30.7307,2.2908,0.3402,0.3005,0.1677,0.3876,255.2245
Well-01,2269.5,41.9062,8.4955,33.788,2.2642,0.2593,0.0628,0.2098,0.273,988.0715
Well-01,2270,26.0938,7.4088,31.9105,2.299,0.2241,0.024,0.1954,0.2399,649.146
Well-01,2270.5,21.3906,6.9588,29.2508,2.3119,0.2181,0.0268,0.1886,0.2605,522.4623
Well-01,2271,25.9844,6.8278,25.9574,2.3106,0.2347,0.0636,0.1874,0.3192,503.6652
Well-01,2271.5,53.2188,6.9404,22.6286,2.3218,0.2952,0.2239,0.1628,0.4545,212.9341
Well-01,2272,90.8125,7.2934,21.1724,2.3036,0.4122,0.515,0.1309,0.645,56.4321
Well-01,2272.5,131.625,7.8229,21.2579,2.2617,0.5128,0.7492,0.0001,1,0
Well-01,2273,141.125,8.1247,22.9242,2.1964,0.642,0.8562,0.0207,1,0.0011
Well-01,2273.5,126.6875,8.4566,24.7376,1.9815,0.6552,0.7918,0.0605,0.8654,0.2714
Well-01,2274,106.75,8.8277,26.7488,1.8033,0.6392,0.6411,0.1137,0.4676,12.1614
Well-01,2274.5,100.5,8.9718,24.2253,1.8161,0.5587,0.6187,0.0783,0.6333,1.3151
Well-01,2275,110.6875,9.1041,21.2722,2.0062,0.5252,0.7003,0.0001,1,0
Well-01,2275.5,126.25,9.0804,17.5785,2.2396,0.5134,0.7593,0.0001,1,0
Well-01,2276,138.875,8.6161,15.1211,2.3638,0.5276,0.8917,0.0001,1,0
Well-01,2276.5,153.25,7.5381,13.4587,2.4088,0.5548,1,0.0001,1,0
Well-01,2277,150.375,6.4777,13.096,2.4171,0.5237,0.9502,0.0001,1,0
